5,995
6,65
8,85
9,85
10,255
11,420.69
14,450
17,98
26,420
29,250
32,927.27
38,3838
40,340
42,2500
43,58.5
50,142.069
51,79
54,55
66,115
78,69.69
84,150
85,111
86,57
98,155
102,58
108,96.69
114,169
118,696.69
122,100000000000000
126,260
128,180
134,135
135,59
142,110
159,138
169,1690
175,59.88
178,78
181,80
184,100
192,690.2
200,400
201,117
202,120
204,750
208,295
211,320
218,474.9
222,70
224,150
228,72
230,60.69
238,238
240,77.7
244,79.99
248,199.99
250,51
256,420
265,188
271,123
282,74.99
290,77
298,250
312,79
315,71.69
322,75
326,325
337,95
349,111
350,888.888
352,99
353,62
355,74.999
357,68.88
393,88
395,101
401,280
404,62.5
408,98.9
412,75
413,100
435,435
441,750
466,210
500,200
501,501
509,2500
511,149.6942
513,75
519,70
520,99
523,125
525,133
528,1234
548,242.69
550,269
567,73
568,1337
572,65
573,53.99
603,80
604,86.6942
605,175
606,60
611,100
618,696.969
645,420.69
648,125
652,199
653,300
667,120
687,79.99
688,100
689,160
712,240
715,58.88
720,66.66
739,240
742,500
745,420
747,195
751,69.42
753,66
761,116.69
764,65
784,95
797,120
799,777
802,84
804,65
822,79.69
830,3333
832,1000
835,200
840,2021
842,75
886,150
888,888
947,289
949,500
951,47.47
952,75
955,65
960,65
962,99
963,999
964,125
969,500
1001,150
1039,67
1046,58.99
1062,250
1063,666
1071,80
1095,100
1102,8899
1112,75
1124,250
1131,101
1133,62
1134,47.69
1136,60
1141,75
1147,80
1154,110
1159,175
1168,199
1171,57
1182,777
1186,99
1187,950
1191,78
1193,6966
1194,68.88
1204,125
1205,300
1231,75
1236,69.69
1245,80
1251,74
1253,125.3
1254,69.42
1256,67
1274,72
1277,150
1280,100
1290,64.2069
1293,125
1295,66.6666
1296,129.6
1302,420.69
1309,105
1316,256
1318,54
1323,150
1331,58.49
1332,69.69
1333,55.69
1334,80
1341,1200
1344,69.69
1367,280.88
1372,211.2
1376,54
1378,120
1386,200
1389,128
1396,121
1400,59.8
1401,380
1405,217
1414,99
1415,89
1419,250
1420,80
1423,666.66
1428,97
1434,169
1437,69
1455,65
1466,240
1480,188
1486,94
1492,315.69
1503,81
1505,60
1527,169.69
1552,90
1557,95
1562,180
1569,300
1570,750
1576,74.9
1578,100
1582,138
1584,85
1590,45.9
1602,69
1609,72.7777
1612,88.7777
1614,85
1615,100
1644,65
1649,56
1657,180
1674,888.8
1681,100
1695,420.69
1696,69
1697,175
1701,124457.069
1702,100
1705,777.7777
1715,53.1715
1717,96.69
1718,420.69
1744,250
1775,158
1779,195.69
1783,355
1785,85
1795,53
1802,78
1809,199.69
1837,699.69
1846,320
1871,999
1876,69
1878,125
1879,80
1880,87.2
1883,56.69
1885,300
1890,69.69
1896,200
1908,55
1910,100
1911,140
1919,70
1929,190
1939,66.99
1942,194.2
1948,68
1949,98
1951,77.77
1953,49
1954,100
1963,4206.9
1964,62
1970,69
1977,420.69
1978,666
1984,385
2020,120
2021,202.2021
2023,200
2024,199.99
2030,101
2044,70
2052,99999999999999
2053,888
2063,150
2068,77.7
2070,72
2072,150
2073,601.46
2082,117
2088,120
2094,63
2096,82.5
2103,54.69
2106,170
2111,66
2112,62
2118,690.2
2121,2121
2123,125
2129,75
2130,420
2139,250
2144,109
2153,90
2164,98.7654
2167,250
2168,118.118
2171,177.88
2183,129
2201,88.88
2204,68
2206,777
2213,420.69
2216,100
2226,109
2242,80
2249,74
2259,60
2260,60
2261,333
2263,45
2266,68.9999
2274,88.888
2276,199
2283,85
2289,75
2296,77
2297,85
2298,125
2300,129.99
2316,58
2319,166
2335,600
2337,80.085
2341,75
2350,222
2361,350
2369,62
2376,555
2377,94.2069
2393,100
2401,114
2402,289.89
2403,569.69
2405,66.5
2415,111.28
2416,169
2418,77.9
2422,75
2427,100
2432,700
2437,56
2442,100
2458,119
2470,175
2472,129
2478,110
2483,135
2487,420
2488,2200
2494,60
2506,200
2507,690.2
2520,51
2528,99
2532,99999999999999
2536,420.69
2550,185
2552,420.69
2581,333
2588,78
2594,88.8
2596,420.69
2604,70
2611,66.69
2616,74
2619,163
2623,199.89
2635,52
2638,54
2643,89.69
2651,995
2661,200
2662,119.99
2664,200
2669,65
2673,75
2676,888
2677,47.9999
2693,60
2719,69.5
2728,80
2730,231
2731,200
2732,65
2736,75
2740,75
2741,64
2742,500
2759,70
2760,57.5
2762,103
2764,321
2768,69.42
2787,55
2790,63.5
2795,75
2802,250
2810,56.9
2812,59
2813,79.69
2828,100
2829,49
2831,68.88
2851,59.88
2860,150
2863,79.5
2866,150
2869,88.88
2894,110
2895,60
2896,149
2905,68
2907,56.33
2922,500
2950,129.69
2952,200
2956,105
2959,369.69
2966,90
2980,569
2986,666
2997,77.17
2998,76.942
3000,300
3003,57
3005,88
3013,350
3022,107.69
3042,222.22
3045,58
3074,71
3082,66
3090,70
3094,70
3103,2250
3105,8888
3108,300
3112,75
3118,150
3120,169.69
3123,63
3130,420.69
3142,60
3144,420.6969
3146,550
3150,54
3163,135
3165,62.5
3169,70
3174,86.6
3179,333
3191,59.9
3197,69
3199,76.9
3200,59
3207,100
3209,75
3210,88
3214,68
3219,73
3223,200.69
3224,123
3228,199
3229,199
3234,65
3238,59.98
3242,78.25
3248,100
3254,120
3259,99.999
3262,111111
3264,59.4269
3268,120
3275,650
3278,68.8
3287,4206.9
3290,150
3294,96.69
3303,85.99
3322,61
3325,100
3344,99.99
3348,3333
3351,88.88
3366,420.69
3368,200
3370,99.99
3372,126
3382,70
3387,80
3389,150
3392,100
3404,69
3413,225
3417,98
3420,75
3423,420.69
3424,65
3425,420.69
3434,59
3436,105
3441,100
3443,150
3446,75
3447,93.83
3449,88
3458,79
3465,150
3469,175
3475,67
3483,370
3485,98
3493,420.69
3498,95
3504,69.69
3506,56.5
3508,69
3511,85
3529,142.69
3530,200
3533,199
3534,200
3535,150
3541,49
3547,150
3548,380
3551,97
3553,75
3559,49.99
3566,97
3567,57
3585,588.8
3588,99.99
3593,100
3594,420
3595,100
3600,245
3607,499
3619,100
3626,169.69
3629,420.69
3631,64
3646,222.2222
3649,200
3651,65.69
3666,320
3671,120
3680,149.149
3683,420
3687,58.88
3688,72.72
3691,67
3693,179
3696,1000
3702,599.99
3721,288
3732,118
3743,8888
3746,100
3748,114
3754,75
3756,669
3758,63
3760,135
3771,420.69
3773,1088
3781,118
3783,222
3790,98
3810,84
3811,208
3812,100
3814,88
3823,109.55
3825,88.8
3839,42069
3851,99
3852,150
3855,114
3857,420.69
3865,77
3866,102.2
3877,54
3878,666
3883,54.5
3885,440
3886,99
3888,92
3889,2600
3917,175
3918,87.99
3929,95
3930,150
3934,51
3941,60
3943,269.69
3954,50
3957,65
3965,67
3969,100
3970,58.49
3973,58
3987,120
3993,125
4004,80
4006,90
4014,1337
4023,420.69
4041,199
4046,89
4051,258
4057,95
4062,72
4070,85
4071,89
4085,65
4088,230
4091,120.124
4093,75
4099,70
4101,690.42
4103,89.9999
4109,77
4118,333.3333
4128,63.69
4130,375
4135,200
4137,80
4144,420.69
4157,71
4160,75
4173,115
4174,69
4177,666
4184,131
4197,69.42
4202,350
4214,72
4217,500
4218,125
4220,70
4224,70
4225,85
4230,70
4231,400
4233,49.89
4237,100
4244,120
4252,240
4283,54
4288,68.69
4289,265
4296,420.6969
4304,420.69
4309,99.99
4332,60
4336,124
4338,69
4343,264
4345,69
4355,125
4357,87
4360,150
4378,74.69
4389,161
4392,95
4395,88
4399,80.085
4407,78
4413,150
4434,89
4435,420.69
4438,135
4459,130
4463,59
4464,100
4467,75
4468,90
4470,120
4471,83
4474,777
4483,66.88
4486,60
4491,70
4494,59.99
4499,44.89
4507,250
4508,240
4531,74
4533,89
4578,70
4587,78.54
4591,102.69
4599,101
4613,200
4624,125
4625,500
4626,58.98
4627,55
4628,100
4640,70
4652,49
4654,65
4659,234.567
4664,79.69
4665,250
4671,188.88
4676,59.99
4680,66
4688,51
4690,63.4333
4701,110
4724,69.42
4728,125
4734,168.88
4740,100
4742,68
4746,420.6969
4751,57
4767,70
4779,999
4802,59.8
4814,300
4816,199
4818,98
4823,120
4826,100
4836,123
4842,688.888
4845,58
4854,65
4863,68
4874,90
4878,99
4884,59
4886,52.99
4890,242.69
4892,420.69
4906,56.5
4907,150
4908,420.69
4909,180
4911,158
4912,63
4913,88.88
4916,120
4917,100
4926,60
4931,110
4935,51.69
4936,64.69
4956,90
4960,200
4975,57
4986,68
4988,170
4994,160
5003,62
5006,250
5010,107.9
5032,88.88
5040,125
5044,350
5051,64.64
5052,150
5060,250
